Underlying Key,Underlying Symbol,LTP
NSE_EQ|INE881D01027,OFSS,8634.5
NSE_EQ|INE038A01020,HINDALCO,633.4
NSE_EQ|INE670K01029,LODHA,1333.6
NSE_EQ|INE002A01018,RELIANCE,1431.3
NSE_EQ|INE028A01039,BANKBARODA,249.13
NSE_EQ|INE917I01010,BAJAJ-AUTO,7920.5
NSE_EQ|INE006I01046,ASTRAL,1340.8
NSE_EQ|INE669E01016,IDEA,7.15
NSE_EQ|INE095A01012,INDUSINDBK,846.75
NSE_EQ|INE114A01011,SAIL,114.79
NSE_EQ|INE296A01024,BAJFINANCE,8932.0
NSE_EQ|INE399L01023,ATGL,665.55
NSE_EQ|INE127D01025,HDFCAMC,4465.0
MCX_FO|436580,SILVER,94786.0
NSE_EQ|INE813H01021,TORNTPOWER,1477.9
NSE_COM|124961,CRUDEOIL,0.1
NSE_EQ|INE797F01020,JUBLFOOD,720.65
NSE_EQ|INE018A01030,LT,3330.2
NSE_EQ|INE274J01014,OIL,404.6
MCX_FO|436581,SILVERM,94858.0
NSE_EQ|INE047A01021,GRASIM,2755.1
NSE_EQ|INE326A01037,LUPIN,2081.7
MCX_FO|446266,NATGASMINI,342.9
MCX_FO|451669,SILVERM,101781.0
MCX_FO|446265,NATURALGAS,343.2
MCX_FO|450647,COPPER,850.75
MCX_FO|450652,ZINC,248.2
NSE_EQ|INE092T01019,IDFCFIRSTB,67.02
MCX_FO|450845,GOLDM,94550.0
MCX_FO|449534,GOLD,0.0
NSE_EQ|INE003A01024,SIEMENS,2951.7
NSE_EQ|INE343H01029,SOLARINDS,13191.0
NSE_EQ|INE545U01014,BANDHANBNK,164.4
NSE_EQ|INE192A01025,TATACONSUM,1161.5
NSE_EQ|INE067A01029,CGPOWER,635.1
NSE_EQ|INE736A01011,CDSL,1313.5
NSE_EQ|INE075A01022,WIPRO,243.57
NSE_EQ|INE303R01014,KALYANKJIL,530.8
NSE_EQ|INE213A01029,ONGC,239.2
NSE_EQ|INE836A01035,BSOFT,397.35
NSE_EQ|INE121J01017,INDUSTOWER,384.1
NSE_EQ|INE211B01039,PHOENIXLTD,1555.4
NSE_EQ|INE849A01020,TRENT,5370.5
NSE_EQ|INE476A01022,CANBK,97.16
NSE_EQ|INE795G01014,HDFCLIFE,738.9
NSE_EQ|INE494B01023,TVSMOTOR,2782.6
NSE_EQ|INE084A01016,BANKINDIA,116.36
NSE_EQ|INE318A01026,PIDILITIND,3034.5
NSE_EQ|INE935N01020,DIXON,16710.0
NSE_EQ|INE486A01021,CESC,164.97
NSE_EQ|INE481G01011,ULTRACEMCO,11670.0
NSE_EQ|INE596I01012,CAMS,3807.8
NSE_EQ|INE878B01027,KEI,3210.1
NSE_EQ|INE094A01015,HINDPETRO,409.85
NSE_EQ|INE414G01012,MUTHOOTFIN,2203.6
NSE_EQ|INE192R01011,DMART,4018.4
NSE_EQ|INE171A01029,FEDERALBNK,191.51
NSE_COM|121840,SILVERM,0.0
MCX_FO|451666,SILVER,0.0
NSE_EQ|INE208A01029,ASHOKLEY,224.19
MCX_FO|453231,GOLDM,94848.0
MCX_FO|444205,NATURALGAS,315.0
MCX_FO|439488,SILVER,96371.0
NSE_EQ|INE117A01022,ABB,5487.5
NSE_EQ|INE361B01024,DIVISLAB,6124.5
NSE_EQ|INE769A01020,AARTIIND,450.4
NSE_EQ|INE089A01031,DRREDDY,1171.3
NSE_EQ|INE692A01016,UNIONBANK,126.21
NSE_EQ|INE085A01013,CHAMBLFERT,690.85
NSE_EQ|INE776C01039,GMRAIRPORT,88.09
NSE_EQ|INE066A01021,EICHERMOT,5460.5
MCX_FO|439487,SILVERM,96537.0
NSE_EQ|INE031A01017,HUDCO,228.79
NSE_EQ|INE271C01023,DLF,693.75
NSE_EQ|INE854D01024,UNITDSPR,1561.6
NSE_EQ|INE066P01011,INOXWIND,173.08
NSE_EQ|INE356A01018,MPHASIS,2456.1
NSE_EQ|INE467B01029,TCS,3454.3
NSE_EQ|INE142M01025,TATATECH,666.05
NSE_EQ|INE628A01036,UPL,686.5
NSE_EQ|INE758E01017,JIOFIN,260.6
NSE_EQ|INE302A01020,EXIDEIND,366.15
NSE_EQ|INE935A01035,GLENMARK,1400.1
MCX_FO|446488,COPPER,845.6
MCX_FO|448155,COPPER,848.75
MCX_FO|444206,NATGASMINI,315.1
NSE_EQ|INE603J01030,PIIND,3679.1
NSE_EQ|INE220G01021,JSL,586.0
NSE_EQ|INE129A01019,GAIL,191.19
NSE_EQ|INE674K01013,ABCAPITAL,199.32
NSE_COM|121744,NATURALGAS,0.0
NSE_EQ|INE669C01036,TECHM,1494.6
NSE_EQ|INE257A01026,BHEL,228.72
NSE_EQ|INE765G01017,ICICIGI,1850.0
NSE_EQ|INE376G01013,BIOCON,335.9
NSE_EQ|INE522F01014,COALINDIA,385.6
NSE_EQ|INE195A01028,SUPREMEIND,3502.4
NSE_EQ|INE242A01010,IOC,148.56
NSE_EQ|INE455K01017,POLYCAB,5795.0
NSE_EQ|INE732I01013,ANGELONE,2391.8
NSE_EQ|INE974X01010,TIINDIA,2991.6
NSE_EQ|INE030A01027,HINDUNILVR,2348.6
NSE_EQ|INE868B01028,NCC,221.16
NSE_EQ|INE029A01011,BPCL,321.05
NSE_EQ|INE976G01028,RBLBANK,204.37
NSE_EQ|INE615H01020,TITAGARH,733.2
NSE_EQ|INE398R01022,SYNGENE,629.2
